drug,concentration,model,feature_set,train_fraction_of_pool,n_train,n_test,seed,rmsd,r2,runtime_s
AZT,36.0,Lasso (+ pairwise),pw,0.0003,16,2765,1001,0.37734406771822776,-0.000217526153764247,0.012373666977509856
AZT,36.0,Linear (additive),bare,0.0003,16,2765,1002,1.0666862594586697,-6.992687038835356,0.00026641692966222763
AZT,36.0,Lasso (additive),bare,0.0003,16,2765,1002,0.37788129054173863,-0.0030675626769804953,0.013645625207573175
AZT,36.0,Decision tree,bare,0.0003,16,2765,1002,0.5401375024978674,-1.0494063172868535,0.0003717090003192425
AZT,36.0,LightGBM,bare,0.0003,16,2765,1002,0.37788128960068557,-0.0030675576810212934,0.005405459087342024
AZT,36.0,Linear (+ pairwise),pw,0.0003,16,2765,1002,0.411508308508871,-0.18953335134074267,0.0003603328950703144
AZT,36.0,Lasso (+ pairwise),pw,0.0003,16,2765,1002,0.3795052720573954,-0.011707649049469637,0.014560458017513156
AZT,36.0,Linear (additive),bare,0.0003,16,2765,1003,0.7878240375134774,-3.359913386287049,0.00028483406640589237
AZT,36.0,Lasso (additive),bare,0.0003,16,2765,1003,0.3788327383890104,-0.008125066036896333,0.014254749985411763
AZT,36.0,Decision tree,bare,0.0003,16,2765,1003,0.48212987627245885,-0.6328545295325374,0.0004322498571127653
AZT,36.0,LightGBM,bare,0.0003,16,2765,1003,0.3788327369484584,-0.008125058369889748,0.005042707780376077
AZT,36.0,Linear (+ pairwise),pw,0.0003,16,2765,1003,0.40824698554542627,-0.17075327103376048,0.0003609168343245983
AZT,36.0,Lasso (+ pairwise),pw,0.0003,16,2765,1003,0.3788327383890104,-0.008125066036896333,0.013729959027841687
AZT,36.0,Linear (additive),bare,0.001,53,2765,1001,0.41688533550606227,-0.22082283393214208,0.0002772498410195112
AZT,36.0,Lasso (additive),bare,0.001,53,2765,1001,0.3776946685675719,-0.002077049364191952,0.014494417002424598
AZT,36.0,Decision tree,bare,0.001,53,2765,1001,0.4555847804048423,-0.45800099772660396,0.00045849988237023354
AZT,36.0,LightGBM,bare,0.001,53,2765,1001,0.3901204294895371,-0.06909621976173996,0.025610958226025105
AZT,36.0,Linear (+ pairwise),pw,0.001,53,2765,1001,0.4343616197201696,-0.3253247075669785,0.0005462497938424349
AZT,36.0,Lasso (+ pairwise),pw,0.001,53,2765,1001,0.3858131669847616,-0.04561907361296935,0.02519229194149375
AZT,36.0,Linear (additive),bare,0.001,53,2765,1002,0.46027705649870737,-0.48818889944857835,0.0002804999239742756
AZT,36.0,Lasso (additive),bare,0.001,53,2765,1002,0.3990664873315952,-0.11869043075052521,0.014579999959096313
AZT,36.0,Decision tree,bare,0.001,53,2765,1002,0.6140253021912926,-1.6484509958922948,0.0004615001380443573
AZT,36.0,LightGBM,bare,0.001,53,2765,1002,0.4114798706457928,-0.1893689482557286,0.024572292109951377
AZT,36.0,Linear (+ pairwise),pw,0.001,53,2765,1002,0.5595844538497238,-1.1996353359599148,0.0005652089603245258
AZT,36.0,Lasso (+ pairwise),pw,0.001,53,2765,1002,0.385630699089115,-0.04463026964556116,0.04979162500239909
AZT,36.0,Linear (additive),bare,0.001,53,2765,1003,0.45460434014808687,-0.45173237429495394,0.0002963331062346697
AZT,36.0,Lasso (additive),bare,0.001,53,2765,1003,0.3779142978287854,-0.003242802816064261,0.013493834063410759
