drug,concentration_ug_mL,threshold_name,threshold_value,threshold_label,n_positive_mean,positive_rate_mean,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_ppv_mean,precision_ppv_std,npv_mean,npv_std,auroc_mean,auroc_std,aupr_mean,aupr_std,model_rmsd_mean,model_rmsd_std,r2_mean,wt_fitness,replicate_pair_rmsd,sigma_single_est,sigma_median3_estimated_floor,rmsd_two_independent_medians,dynamic_range,iqr_range_p99_p1,rmsd_fraction_of_range_pct
AZT,36.0,WT,2.2112699848658948,Above WT (fitness ≥ 2.21),33099.4,0.6650873068499207,0.9740077945810116,0.005431171419005814,0.03503137733112007,0.0071217315412371515,0.6671631677300497,0.001043217766451169,0.4048791117856851,0.01286604589875565,0.5638513746956029,0.002657908780477514,0.7351224002111407,0.0017377738225785328,0.30969837078112716,0.0029767431448071854,0.3435843344836381,2.2112699848658948,0.4491618061557852,0.31763596397851074,0.21273981234330946,0.3022434646935713,4.026586136145934,2.460211094739382,7.691338526227493
AZT,36.0,TOP5,2.963953312800161,Top 5% (95th pctile),2498.6,0.05020595977254003,0.34666354052491644,0.022604344041545103,0.9916965981728953,0.002025131437256952,0.6926207406490977,0.04072566858652974,0.9663492196335323,0.0011202388646831503,0.7386404227574784,0.004414348770640995,0.4345061373533598,0.008392493278198552,0.30969837078112716,0.0029767431448071854,0.3435843344836381,2.2112699848658948,0.4491618061557852,0.31763596397851074,0.21273981234330946,0.3022434646935713,4.026586136145934,2.460211094739382,7.691338526227493
AZT,36.0,TOP1,4.303723740158575,Top 1% (99th pctile),499.2,0.010030743263608416,0.14873698966711393,0.037942573209676124,0.9999817338829387,1.6858631237125193e-05,0.9898492115100144,0.009480807086489015,0.9914454746305564,0.00045111694959201504,0.9941670733324477,0.0008166080985077881,0.7652463858940715,0.03136479962451014,0.30969837078112716,0.0029767431448071854,0.3435843344836381,2.2112699848658948,0.4491618061557852,0.31763596397851074,0.21273981234330946,0.3022434646935713,4.026586136145934,2.460211094739382,7.691338526227493
AMP,781.0,WT,4.360054696678568,Above WT (fitness ≥ 4.36),169.7,0.0034098900878091905,0.34266649314941294,0.04575223421860617,0.9961207672839139,0.000442586899983129,0.232178704075147,0.015764602346062598,0.9977462912435447,0.00017499345375935506,0.9900905969814835,0.0008910922628767179,0.20433451704026337,0.012013016042879906,0.48245317160799867,0.0016675432831009056,0.5338847765765331,4.360054696678568,0.7416199577451689,0.5244254935646558,0.3504355072812847,0.4977766638193071,4.39806438769297,3.8117356398861,10.969670497731668
AMP,781.0,TOP5,3.854489506735164,Top 5% (95th pctile),2487.5,0.049982920409106436,0.5651917523389094,0.0171350588580883,0.999008022602267,0.00033917336361196466,0.9679833960828244,0.010002031350208945,0.9776120628089469,0.0009287398708858482,0.9930438846166503,0.0005758322478740324,0.9204616118408528,0.007167896958502632,0.48245317160799867,0.0016675432831009056,0.5338847765765331,4.360054696678568,0.7416199577451689,0.5244254935646558,0.3504355072812847,0.4977766638193071,4.39806438769297,3.8117356398861,10.969670497731668
AMP,781.0,TOP1,4.286914729671229,Top 1% (99th pctile),499.7,0.0100407900817811,0.368767208001279,0.03676295594773153,0.9963627212669115,0.00039396819662188736,0.5071614291228339,0.012850794025148736,0.9936141049984007,0.00039934816274234624,0.9912974731659547,0.0005600420304896737,0.4548871348540868,0.010084858659801077,0.48245317160799867,0.0016675432831009056,0.5338847765765331,4.360054696678568,0.7416199577451689,0.5244254935646558,0.3504355072812847,0.4977766638193071,4.39806438769297,3.8117356398861,10.969670497731668
