drug,concentration,r2_order_1,r2_order_2,r2_order_3,r2_order_4,r2_order_5,r2_order_6,r2_order_7,r2_order_8,r2_order_9,r2_order_10,r2_order_11,r2_order_12,r2_order_13
AMP,3.1,0.24108515227055613,0.35090675157662093,0.3946211264271369,0.4379227231937341,0.5066703926719226,0.6107755220607202,0.7371565084212062,0.8583837515361628,0.9401025849697285,0.9819196569778431,0.9953221531707083,0.9972627428478559,0.9998667110881466
AMP,12.2,0.5512748251060623,0.6673863399863401,0.7257785056413522,0.7754887724003734,0.8146800761988494,0.8611856022408974,0.9089334407488858,0.9511362266421749,0.9799336407984015,0.9942817447588324,0.9986436322783564,0.9995738805900564,0.9999770691544102
AMP,48.8,0.6410369336757451,0.7200979236284308,0.802561505079057,0.8322514778707661,0.8646325400418555,0.8976308150926793,0.9335810894229969,0.9652850993077005,0.9854683159429583,0.9958348280069663,0.9990161749050382,0.9997347876604997,0.9999821370357681
AMP,195.0,0.5561703897411608,0.7053823333737653,0.7592138540329275,0.8000738564509187,0.833359615195478,0.8733326996243153,0.9158390358932397,0.9556736415042857,0.9812714592440851,0.9948008449499035,0.9983816436693913,0.9996685087324535,0.9999616794950397
AMP,781.0,0.3511732621680682,0.5246552482414584,0.5624677253537359,0.5972016830247829,0.6470230315099027,0.7222887477976746,0.8129163365715013,0.8992361312049165,0.9585485270790193,0.9880109228879652,0.9974467018173548,0.9995043423691715,0.9999023005046277
AZT,0.44,0.42157132678554515,0.6036392526548362,0.7089109278617999,0.7666580270915011,0.8194243046002033,0.8716926377793225,0.9214386713956263,0.9601792134643238,0.9836569000145049,0.995127672774785,0.9987741986366998,0.9995485748537771,0.9999500127693305
AZT,1.33,0.3491777914603862,0.5595164364048517,0.660136871951488,0.7357782305303986,0.789360805559568,0.8487303407497764,0.9045099256355867,0.9509086716065889,0.9799278182471133,0.9941794651268634,0.998438810755094,0.9993530914378495,0.9999220846987751
AZT,4.0,0.2585726008194864,0.4783613222866521,0.5834285594748477,0.6580871525729413,0.7260927974032437,0.7963766577780532,0.8691056322077826,0.9315649176909103,0.9709788647592054,0.9906866037948753,0.9971264525113512,0.9988209074000816,0.9998225128767301
AZT,12.0,0.16861559123976125,0.36682181153493415,0.4882707612101613,0.5601096725501485,0.6403470605523407,0.7301476536848064,0.8250348299982743,0.9076334639797746,0.9613172154272099,0.9886771936607148,0.9962597197781038,0.9984637473367619,0.9996483988371312
AZT,36.0,0.10039362481525807,0.2500516165861833,0.3775515518470237,0.462710750408573,0.5451253432717471,0.6540279598846965,0.7745656545059042,0.88077798485808,0.9483627167843341,0.9850104602597922,0.9958291635934133,0.9982617239633896,0.9995177469987679
AZT,108.0,0.040096783177194006,0.1275786139426273,0.2516976179091725,0.37497213021409265,0.47964686621038854,0.6003406910031561,0.7416921456723201,0.8619925322939991,0.942133242681828,0.9828273701352468,0.992979147218434,0.9963704103098155,0.9992458023771167
AZT,324.0,0.06285489414357683,0.09934892095956514,0.15060661354174026,0.24547327223149987,0.3755176322815071,0.5321519994797739,0.698689230779625,0.8397087817142694,0.9341127949406461,0.9788777516438179,0.9926937837305378,0.9949342533259681,0.9993176467498049
