drug,concentration,n_genotypes,cv_median,cv_q25,cv_q75,cv_q90,frac_lt_10pct_cv,logsd_median,logsd_q25,logsd_q75
Ampicillin,0.0,52167,23.503813273573137,14.896774365794444,34.4776951824473,47.4387533493198,0.12264458374067898,0.10319959638900848,0.06505171971039336,0.15282422766822462
Ampicillin,3.1,49123,24.426358348284253,15.422792979980265,35.842309467765105,49.01710552612653,0.11540418948354131,0.10741485675748012,0.06733047945012179,0.15913075503251606
Ampicillin,12.2,33865,23.346407512925293,14.755986889560402,34.14560745390951,47.24230865993602,0.12340174221172302,0.1027555370637675,0.06452964794674067,0.15183919931933057
Ampicillin,48.8,21151,22.95467272571047,14.462143172980428,33.65866502297733,47.0392537898851,0.1259514916552409,0.10067119168100626,0.0631108981198129,0.14853020569757702
Ampicillin,195.0,13148,23.11152295935863,14.544370967797278,34.36589397254406,47.55734213696324,0.13332826285366595,0.10139095705405202,0.06336734549098288,0.15154917356838357
Ampicillin,781.0,6191,26.59140234029302,16.488232936422584,40.24572943545173,57.62817522086009,0.1040219673719916,0.11695797541392512,0.07195607858713256,0.180440349081898
Aztreonam,0.0,53880,25.01129000635305,15.946953696985537,36.765481727161486,50.667227277302985,0.10950259836674091,0.11012071063135478,0.0696791476340942,0.1634536812729515
Aztreonam,0.44,13855,24.586460907890423,15.397017415548692,36.88275555656374,52.02797047109375,0.11829664381089859,0.10847679836482398,0.06749597687655465,0.16412179691589696
Aztreonam,1.33,9814,24.199512055233463,15.083754982574815,35.909450857962064,51.14426355358093,0.11982881597717546,0.1062938344560784,0.06561150150409477,0.1583853127527313
Aztreonam,4.0,6621,27.473717036854268,16.799247855741314,42.05104165454924,60.538514685537166,0.09922972360670594,0.12089136598764197,0.0738974320422179,0.18860753578378162
Aztreonam,12.0,4347,31.03015475662183,18.96034550621226,48.78584508624299,68.05251912430954,0.08350586611456176,0.13766758773975876,0.08313886187958144,0.22010492165897194
Aztreonam,36.0,2304,37.72749814712495,22.108673012448175,60.10088010793227,82.24639403364746,0.06293402777777778,0.16782992802066804,0.09744966391961787,0.28116237568791375
Aztreonam,108.0,746,46.522491828490864,26.70886444052851,76.2125366997845,101.40063437335529,0.04155495978552279,0.21822404172853965,0.11899822726760224,0.3925506211747323
Aztreonam,324.0,130,70.58148753823379,40.421988109980006,95.32277719175278,123.45382233209597,0.007692307692307693,0.35590802097497665,0.17588771637623413,0.7627799313710151
